date,NGE_raw,Pt,MV_t,NGE
2021-07-12,54466185.71391337,413.0347595214844,392383021545.41016,0.00013880872189473684
2021-07-13,35403266.06715655,411.6268005371094,391045460510.2539,9.053491126315789e-05
2021-07-14,41575503.17771846,412.24102783203125,391628976440.4297,0.0001061604367368421
2021-07-15,5552878.093546875,410.8330078125,390291357421.875,1.422752e-05
2021-07-16,-12431103.170985159,407.6105651855469,387230036926.26953,-3.210263147368421e-05
2021-07-19,-46283314.73535109,401.5910339355469,381511482238.76953,-0.00012131565336842107
2021-07-20,-7338980.398506371,407.345947265625,386978649902.34375,-1.896481989473684e-05
2021-07-21,24671223.269595668,410.64398193359375,390111782836.91406,6.324142042105264e-05
2021-07-22,38426174.69640452,411.5039367675781,390928739929.1992,9.829457589473685e-05
2021-07-23,51135005.75908761,415.7374267578125,394950555419.9219,0.00012947191757894737
2021-07-26,52527882.76760784,416.758056640625,395920153808.59375,0.00013267291968421053
2021-07-27,34077440.3443992,414.85858154296875,394115652465.8203,8.64655847368421e-05
2021-07-28,34622506.34576131,414.6885070800781,393954081726.0742,8.7884624e-05
2021-07-29,55961284.71688907,416.40838623046875,395587966918.9453,0.00014146356663157894
2021-07-30,21874598.801337235,414.3861389160156,393666831970.21484,5.5566273368421056e-05
2021-08-02,12629104.795359412,413.51666259765625,392840829467.77344,3.214814715789474e-05
2021-08-03,49135433.95614727,416.880859375,396036816406.25,0.00012406784400000002
2021-08-04,27666617.140255958,414.8302917480469,394088777160.64453,7.020402189473684e-05
2021-08-05,55532858.93330197,417.45733642578125,396584469604.4922,0.0001400278205263158
2021-08-06,56283934.90819103,418.14715576171875,397239797973.6328,0.0001416875529473684
2021-08-09,53269349.81502106,417.8070068359375,396916656494.1406,0.00013420789715789475
2021-08-10,60546928.97308035,418.3266906738281,397410356140.1367,0.00015235367684210527
2021-08-11,71165376.21427512,419.3661804199219,398397871398.9258,0.0001786289067368421
2021-08-12,93745918.52550444,420.6229553222656,399591807556.15234,0.0002346042054736842
2021-08-13,85515456.11118239,421.3884582519531,400319035339.35547,0.00021361826084210527
2021-08-16,75749593.4896415,422.3807373046875,401261700439.4531,0.00018877852884210527
2021-08-17,32514462.02526616,419.6119689941406,398631370544.4336,8.15652365263158e-05
2021-08-18,-13209413.697974293,415.019287109375,394268322753.90625,-3.3503614e-05
2021-08-19,-27338557.005132202,415.6618347167969,394878742980.95703,-6.923278978947368e-05
2021-08-20,18936154.164295714,418.96929931640625,398020834350.58594,4.757578631578947e-05
2021-08-23,58283091.33977099,422.6547546386719,401522016906.7383,0.00014515540589473685
2021-08-24,67569028.57958412,423.32574462890625,402159457397.46094,0.00016801551557894738
2021-08-25,73630293.8417977,424.2139892578125,403003289794.9219,0.00018270395231578947
2021-08-26,23123356.072660904,421.7097473144531,400624259948.73047,5.771831210526316e-05
2021-08-27,64588880.817185365,425.48028564453125,404206271362.3047,0.00015979188199999997
2021-08-30,80006820.60102443,427.3513488769531,405983781433.10547,0.00019706900684210527
2021-08-31,62762192.67314418,426.71820068359375,405382290649.41406,0.000154822236
2021-09-01,60020728.75609973,426.9449462890625,405597698974.6094,0.00014798094
2021-09-02,69898351.41339065,428.2585144042969,406845588684.08203,0.00017180560231578947
2021-09-03,54275021.25449588,428.15460205078125,406746871948.2422,0.0001334368497894737
2021-09-07,30444957.360146776,426.6236572265625,405292474365.2344,7.51184867368421e-05
2021-09-08,25798149.182524472,426.10394287109375,404798745727.53906,6.373080315789473e-05
2021-09-09,-5346459.53343204,424.2801208496094,403066114807.1289,-1.3264472842105255e-05
2021-09-10,-19102690.732855972,420.9349060058594,399888160705.5664,-4.7770083263157896e-05
2021-09-13,-12842495.832964594,422.0121154785156,400911509704.58984,-3.2033243052631586e-05
2021-09-14,-31819698.70392073,419.7347717285156,398748033142.08984,-7.979901105263157e-05
2021-09-15,-284070.3300328513,423.2406005859375,402078570556.6406,-7.065045263157949e-07
2021-09-16,-3580490.5658586673,422.56976318359375,401441275024.41406,-8.919089263157896e-06
2021-09-17,-27745408.74612949,418.4534606933594,397530787658.6914,-6.979436463157895e-05
2021-09-20,-54460572.53655421,411.47601318359375,390902212524.41406,-0.00013932019515789474
2021-09-21,-52189703.22740737,411.0873718261719,390533003234.8633,-0.00013363711336842105
2021-09-22,-28460240.307346024,415.097412109375,394342541503.90625,-7.217136705263159e-05
2021-09-23,12347799.300020415,420.14093017578125,399133883666.9922,3.09364847368421e-05
2021-09-24,8829344.98633644,420.8329772949219,399791328430.1758,2.2084883684210524e-05
2021-09-27,-37572.15372466729,419.6289978027344,398647547912.59766,-9.424905263158643e-08
2021-09-28,-76728674.51362748,411.1727294921875,390614093017.5781,-0.00019643089147368422
2021-09-29,-69995465.1914731,411.86480712890625,391271566772.46094,-0.00017889228642105261
2021-09-30,-75757395.75826648,406.8308410644531,386489299011.23047,-0.00019601421294736842
2021-10-01,-47130723.14248416,411.6656799316406,391082395935.0586,-0.00012051353789473684
2021-10-04,-67099598.65084096,406.35687255859375,386039028930.66406,-0.00017381558242105262
2021-10-05,-42896651.29590039,410.5849609375,390055712890.625,-0.00010997570315789473
2021-10-06,-32805897.030065797,412.2913818359375,391676812744.1406,-8.375756736842106e-05
2021-10-07,-729121.3780966616,415.8558654785156,395063072204.58984,-1.8455822105263088e-06
2021-10-08,-10841284.743623242,415.097412109375,394342541503.90625,-2.7492049684210526e-05
2021-10-11,-35338834.25549878,412.09228515625,391487670898.4375,-9.026806431578948e-05
2021-10-12,-49022787.06734582,411.0779113769531,390524015808.10547,-0.0001255307870526316
2021-10-13,-45177443.908781044,412.5567932128906,391928953552.2461,-0.00011526947294736841
2021-10-14,30994797.163522836,419.49627685546875,398521463012.6953,7.777447400000001e-05
2021-10-15,49354443.11877319,422.6910400390625,401556488037.1094,0.00012290784631578948
2021-10-18,49897118.646747395,423.9424743652344,402745350646.97266,0.00012389247589473685
2021-10-19,73537876.34909292,427.2131042480469,405852449035.64453,0.0001811936247368421
2021-10-20,71905012.24072896,428.89111328125,407446557617.1875,0.0001764771622105263
2021-10-21,78988336.0184361,430.0097351074219,408509248352.0508,0.00019335752210526317
2021-10-22,57808501.35049979,429.56414794921875,408085940551.7578,0.0001416576647368421
2021-10-25,65467815.79460542,431.8677673339844,410274378967.28516,0.000159570812
2021-10-26,68793038.31023525,432.25653076171875,410643704223.6328,0.00016752488252631578
2021-10-27,41935580.12773589,430.3415222167969,408824446105.95703,0.00010257600915789473
2021-10-28,73053755.36469278,434.4938049316406,412769114685.0586,0.00017698454842105261
2021-10-29,65648226.39953789,435.37548828125,413606713867.1875,0.00015872137515789473
2021-11-01,63820775.720517576,436.1244201660156,414318199157.71484,0.00015403806989473684
2021-11-02,76397485.42952833,437.8877258300781,415993339538.5742,0.00018365074189473685
2021-11-03,85782553.34717475,440.5611267089844,418533070373.53516,0.00020496003642105263
2021-11-04,94722956.75803052,442.63726806640625,420505404663.08594,0.00022525978431578949
2021-11-05,78854691.64463264,444.1730651855469,421964411926.26953,0.00018687521842105262
2021-11-08,70738895.7529686,444.55230712890625,422324691772.46094,0.0001674988394736842
2021-11-09,52049307.70473299,443.0828552246094,420928712463.3789,0.00012365349799999998
2021-11-10,29855905.674186308,439.51837158203125,417542453002.9297,7.150388052631578e-05
2021-11-11,22913333.719437502,439.6605224609375,417677496337.8906,5.4858913684210534e-05
2021-11-12,55969022.11029942,442.97857666015625,420829647827.14844,0.00013299686084210525
2021-11-15,56064532.10580879,443.1302490234375,420973736572.2656,0.00013317821810526314
