,date,prev_close,close_1430,close_1530,close_1559,rROD,rLH,NGE_raw,Pt,MV_t,NGE,interaction
0,2018-09-04,290.22,289.72,289.725,289.855,-0.0017228127,-0.00044852495,139574975.2011946,259.4345703125,246462841796.875,0.0005663124476842,-9.756502501883577e-07
1,2018-09-05,289.855,289.06,289.06,289.05,-0.0027427673,3.4570694e-05,108005120.66641843,258.7362976074219,245799482727.0508,0.000439403368421,-1.2051812053478201e-06
2,2018-09-06,289.05,287.895,288.485,288.18,-0.003995836,0.0010583401,70102337.25446056,257.9574890136719,245059614562.98828,0.0002860623827368,-1.143058304565688e-06
3,2018-09-07,288.18,287.795,287.815,287.7,-0.0013359189,0.00039970875,25638339.88452034,257.4562072753906,244583396911.6211,0.0001048245310526,-1.4003707256805444e-07
4,2018-09-10,287.7,288.345,288.26,288.1,0.00224185,0.0005553961,49361165.10059848,257.90374755859375,245008560180.6641,0.0002014671041052,4.5165900704889197e-07
5,2018-09-11,288.1,289.36,289.19,289.115,0.004373431,0.0002593994,92773828.03848946,258.75421142578125,245816500854.4922,0.0003774109049473,1.6505806290866846e-06
6,2018-09-12,289.115,288.72,289.435,289.155,-0.0013661981,0.00096833706,99612009.11490528,258.81683349609375,245875991821.28903,0.0004051310922105,-5.53489313397221e-07
7,2018-09-13,289.155,290.63,290.535,290.785,0.0051010847,-0.0008597374,162416751.2168588,260.3475036621094,247330128479.0039,0.0006566800098947,3.3497803572898037e-06
8,2018-09-14,290.785,290.62,290.76,290.895,-0.0005674362,-0.00046402216,138043705.16997698,260.39239501953125,247372775268.5547,0.0005580391982105,-3.1665165227436777e-07
9,2018-09-17,290.895,290.0,289.25,289.38,-0.0030766726,-0.0004492402,57524722.1214089,259.0138244628906,246063133239.7461,0.0002337803366315,-7.192655453827838e-07
10,2018-09-18,289.38,291.44,291.28,290.9,0.007118702,0.0013062954,116647227.89460622,260.41925048828125,247398287963.8672,0.0004714956956842,3.3564373211238014e-06
11,2018-09-19,290.9,291.235,291.325,291.255,0.0011515617,0.00024032593,132280951.24472958,260.69677734375,247661938476.5625,0.0005341190174736,6.150710235589714e-07
12,2018-09-20,291.255,293.57,293.695,293.54,0.007948399,0.00052797794,147900218.79642642,262.80938720703125,249668917846.6797,0.0005923853881052,4.708515183604039e-06
13,2018-09-21,293.54,292.45,292.2,292.03,-0.0037133098,0.00058221817,119986909.25349312,262.5693054199219,249440840148.92575,0.0004810235131578,-1.7861893085371126e-06
14,2018-09-24,292.03,291.015,291.115,291.07,-0.0034756064,0.00015449524,85575639.77798197,261.6969299316406,248612083435.0586,0.0003442135176842,-1.1963507193138233e-06
15,2018-09-25,291.07,290.86,290.85,290.715,-0.00072157383,0.0004644394,70271604.56427997,261.4541931152344,248381483459.47263,0.000282918048421,-2.0414625967649376e-07
16,2018-09-26,290.715,291.92,291.29,289.625,0.004145026,0.005748868,35358525.158791825,260.6719055175781,247638310241.6992,0.0001427829366315,5.91839014245735e-07
17,2018-09-27,289.625,291.25,290.68,290.665,0.0056107044,5.1498413e-05,59284435.66991698,261.4003601074219,248330342102.0508,0.0002387321467368,1.3394555113690172e-06
18,2018-09-28,290.665,290.81,290.535,290.64,0.00049877167,-0.00036132336,55943443.738564014,261.42724609375,248355883789.0625,0.0002252551575789,1.123508905542037e-07
19,2018-10-01,290.64,291.97,291.365,291.665,0.004576087,-0.001028657,94878252.2825143,262.3355407714844,249218763732.91016,0.0003807026841052,1.7421286028321163e-06
20,2018-10-02,291.665,292.295,291.53,291.57,0.0021600723,-0.00013720989,86438785.50753735,262.18255615234375,249073428344.72656,0.0003470413768421,7.49634474322659e-07
21,2018-10-03,291.57,292.655,291.6,291.79,0.0037212372,-0.00065118074,88109835.99714391,262.3265075683594,249210182189.9414,0.0003535563243157,1.315666940193044e-06
22,2018-10-04,291.79,288.01,288.89,289.445,-0.012954533,-0.0019174218,-10559608.550847895,260.2762756347656,247262461853.02737,-4.270607221052633e-05,5.532372260277273e-07
23,2018-10-05,289.445,287.725,287.74,287.855,-0.0059424043,-0.00039958954,-46380626.55514772,258.8194885253906,245878514099.1211,-0.0001886322874736,1.1209293105754555e-06
24,2018-10-08,287.855,287.63,287.895,287.795,-0.0007816553,0.00034737587,-46475354.203246586,258.8194885253906,245878514099.1211,-0.0001890175494736,1.4774657152872028e-07
25,2018-10-09,287.795,287.8,287.43,287.415,1.7285347e-05,5.209446e-05,-54180323.88480644,258.4417419433594,245519654846.1914,-0.0002206761162105,-3.814463239970505e-09
26,2018-10-10,287.415,282.3,280.84,278.175,-0.017796636,0.009580374,-166881068.78491676,250.2586212158203,237745690155.0293,-0.0007019309947368,1.2492010149152533e-05
27,2018-10-11,278.175,274.24,274.435,272.55,-0.0141457915,0.0069161654,-182700697.34025055,244.7462921142578,232508977508.54492,-0.0007857791096842,1.1115467474700339e-05
28,2018-10-12,272.55,273.85,275.575,276.0,0.004769802,-0.0015398264,-162801357.5892403,248.1454315185547,235738159942.62695,-0.0006906024787368,-3.2940371488591246e-06
29,2018-10-15,276.0,275.455,275.64,274.67,-0.0019747019,0.003531456,-161924493.7909889,246.75167846679688,234414094543.45703,-0.0006907626186315,1.3640502426184174e-06
30,2018-10-16,274.67,279.825,279.525,280.435,0.018767953,-0.003244996,-124109162.1349325,252.14710998535156,239539754486.084,-0.0005181150928421,-9.723959669087136e-06
31,2018-10-17,280.435,279.85,280.485,280.4,-0.0020860434,0.00030314922,-112034345.83933814,252.19207763671875,239582473754.8828,-0.0004676232951578,9.754824688394477e-07
32,2018-10-18,280.4,276.05,276.035,276.075,-0.015513599,-0.00014489889,-123376741.341349,248.5500640869141,236122560882.56836,-0.0005225114486315,8.106033044610242e-06
33,2018-10-19,276.075,276.27,276.84,276.205,0.00070619583,0.0022990704,-116476037.73336026,248.41522216796875,235994461059.5703,-0.0004935541165263,-3.485458596112491e-07
34,2018-10-22,276.205,275.12,275.655,275.07,-0.0039281845,0.0021266937,-124623195.10365067,247.30015563964844,234935147857.666,-0.0005304578571578,2.0837363373117243e-06
35,2018-10-23,275.07,273.52,274.12,273.465,-0.005635023,0.002395153,-142766557.73217356,246.0412750244141,233739211273.19336,-0.0006107942135789,3.441839513286901e-06
